sticker_id,market_hash_name
s6754,Sticker | Flipsid3 Tactics | Cologne 2016
s6755,Sticker | Flipsid3 Tactics | DreamHack 2014
s6756,Sticker | Flipsid3 Tactics | Katowice 2015
s6757,Sticker | Flipsid3 Tactics | Krakow 2017
s6758,Sticker | Flipsid3 Tactics | MLG Columbus 2016
s6759,Sticker | Fnatic (Foil) | Atlanta 2017
s6760,Sticker | Fnatic (Foil) | Boston 2018
s6761,Sticker | Fnatic (Foil) | Cluj-Napoca 2015
s6762,Sticker | Fnatic (Foil) | Cologne 2015
s6763,Sticker | Fnatic (Foil) | Cologne 2016
s6764,Sticker | Fnatic (Foil) | DreamHack 2014
s6765,Sticker | Fnatic (Foil) | Katowice 2015
s6766,Sticker | Fnatic (Foil) | Krakow 2017
s6767,Sticker | Fnatic (Foil) | London 2018
s6768,Sticker | Fnatic (Foil) | MLG Columbus 2016
s6769,Sticker | Fnatic (Holo) | Atlanta 2017
s6770,Sticker | Fnatic (Holo) | Boston 2018
s6771,Sticker | Fnatic (Holo) | Cologne 2014
s6772,Sticker | Fnatic (Holo) | Cologne 2016
s6773,Sticker | Fnatic (Holo) | DreamHack 2014
s6774,Sticker | Fnatic (Holo) | Katowice 2014
s6775,Sticker | Fnatic (Holo) | Katowice 2015
s6776,Sticker | Fnatic (Holo) | Krakow 2017
s6777,Sticker | Fnatic (Holo) | London 2018
s6778,Sticker | Fnatic (Holo) | MLG Columbus 2016
s6779,Sticker | Fnatic | Atlanta 2017
s6780,Sticker | Fnatic | Boston 2018
s6781,Sticker | Fnatic | Cluj-Napoca 2015
s6782,Sticker | Fnatic | Cologne 2014
s6783,Sticker | Fnatic | Cologne 2015
s6784,Sticker | Fnatic | Cologne 2016
s6785,Sticker | Fnatic | DreamHack 2014
s6786,Sticker | Fnatic | Katowice 2014
s6787,Sticker | Fnatic | Katowice 2015
s6788,Sticker | Fnatic | Krakow 2017
s6789,Sticker | Fnatic | London 2018
s6790,Sticker | Fnatic | MLG Columbus 2016
s6791,Sticker | Friendly Fire
s6792,Sticker | Friendly Fire (Holo)
s6793,Sticker | FugLy (Foil) | Cluj-Napoca 2015
s6794,Sticker | FugLy (Foil) | MLG Columbus 2016
s6795,Sticker | FugLy | Cluj-Napoca 2015
s6796,Sticker | FugLy | MLG Columbus 2016
s6797,Sticker | Furlan (Foil) | Cluj-Napoca 2015
s6798,Sticker | Furlan (Foil) | Cologne 2015
s6799,Sticker | Furlan | Cluj-Napoca 2015
s6800,Sticker | Furlan | Cologne 2015
s6801,Sticker | G2 Esports (Foil) | Atlanta 2017
s6802,Sticker | G2 Esports (Foil) | Cluj-Napoca 2015
s6803,Sticker | G2 Esports (Foil) | Cologne 2016
s6804,Sticker | G2 Esports (Foil) | Krakow 2017
s6805,Sticker | G2 Esports (Foil) | MLG Columbus 2016
s6806,Sticker | G2 Esports (Holo) | Atlanta 2017
s6807,Sticker | G2 Esports (Holo) | Boston 2018
s6808,Sticker | G2 Esports (Holo) | Cologne 2016
s6809,Sticker | G2 Esports (Holo) | Krakow 2017
s6810,Sticker | G2 Esports (Holo) | London 2018
s6811,Sticker | G2 Esports (Holo) | MLG Columbus 2016
s6812,Sticker | G2 Esports | Atlanta 2017
s6813,Sticker | G2 Esports | Cluj-Napoca 2015
s6814,Sticker | G2 Esports | Cologne 2016
s6815,Sticker | G2 Esports | Krakow 2017
s6816,Sticker | G2 Esports | London 2018
s6817,Sticker | G2 Esports | MLG Columbus 2016
s6818,Sticker | GODSENT (Foil) | Atlanta 2017
s6819,Sticker | GODSENT (Holo) | Atlanta 2017
s6820,Sticker | GODSENT | Atlanta 2017
s6821,Sticker | Gambit (Foil) | Krakow 2017
s6822,Sticker | Gambit (Holo) | Krakow 2017
s6823,Sticker | Gambit Esports (Foil) | Boston 2018
s6824,Sticker | Gambit Esports (Foil) | London 2018
s6825,Sticker | Gambit Esports (Holo) | Boston 2018
s6826,Sticker | Gambit Esports | Boston 2018
s6827,Sticker | Gambit Gaming (Foil) | Atlanta 2017
s6828,Sticker | Gambit Gaming (Foil) | Cologne 2016
s6829,Sticker | Gambit Gaming (Foil) | MLG Columbus 2016
